id_personne,id_concert
199,250
135,90
145,197
149,291
21,157
294,136
117,260
137,129
20,124
77,102
281,47
60,39
200,57
239,127
290,38
243,10
233,78
244,76
169,193
56,41
172,35
80,26
158,137
292,51
102,268
60,143
113,50
281,239
193,129
200,300
35,30
168,210
279,221
218,94
216,28
71,71
169,19
240,187
117,171
256,126
26,135
35,276
240,157
192,4
193,172
20,264
188,156
107,257
149,28
35,125
101,182
145,209
290,2
200,224
188,282
244,24
218,172
294,79
203,226
216,198
60,185
60,121
169,210
279,214
240,213
101,60
30,55
144,169
138,9
101,76
223,179
182,150
40,52
43,58
144,256
211,9
244,217
60,70
158,27
158,274
117,104
30,91
143,128
71,191
192,258
158,146
239,4
299,281
279,163
77,196
290,284
56,272
107,228
223,163
290,294
168,152
137,81
35,252
26,275
58,291
30,195
132,52
215,66
143,75
213,139
156,46
295,217
43,127
182,271
193,132
193,133
50,108
132,4
71,240
25,57
225,100
96,216
290,218
276,60
96,135
199,187
161,270
73,289
158,222
170,221
101,6
193,59
71,85
21,44
276,10
26,13
240,29
223,71
80,133
132,27
60,158
80,262
169,136
105,57
215,81
35,299
240,269
73,96
145,120
144,246
172,267
26,72
26,218
130,75
62,213
168,254
60,191
211,15
215,175
282,201
156,260
211,166
107,221
56,17
256,171
215,80
260,214
281,132
149,228
299,97
141,168
294,191
215,1
168,242
294,133
30,196
216,49
132,218
77,287
1,128
96,192
58,8
299,38
276,94
60,80
156,273
102,68
35,285
233,58
260,247
260,236
71,142
216,279
102,257
260,49
101,286
84,30
80,89
221,237
101,29
64,77
43,35
69,270
80,107
167,282
96,151
200,120
244,114
216,159
221,263
30,29
203,285
77,83
143,161
132,219
71,222
26,77
40,170
223,252
182,132
69,172
190,193
64,108
60,188
73,178
25,42
64,145
239,63
169,1
233,58
135,211
137,263
58,10
102,150
132,187
281,106
215,284
167,292
1,15
292,14
172,103
3,243
233,194
104,75
172,162
239,27
243,29
69,114
60,86
84,43
238,216
299,149
203,23
107,275
290,107
49,121
71,290
190,168
276,233
158,256
216,156
295,116
213,189
58,149
96,231
49,113
167,251
169,219
281,8
149,163
56,55
21,53
299,203
105,284
130,118
233,103
281,156
256,25
218,235
295,123
101,155
69,152
50,149
190,64
102,8
77,216
60,122
130,126
243,261
200,37
149,149
40,286
105,32
182,270
192,272
135,42
144,173
